Title,Company,Location,JobDescription
Short-Term Travel Grants (STG) Program,International Research & Exchanges Board (IREX),NA,NA
Non-paid part or full time Administrative Intern,International Research & Exchanges Board (IREX),"IREX Armenia Main Office
"," IREX currently seeks to fill the position of non-paid
full and part time Administrative Intern. The position is based in the
Yerevan office. This position reports directly to the Administrative
Coordinator or Program Manager.
The internship program serves to:
- Reinforce and strengthen the interns' personal values and career
objectives through an improved understanding of themselves and the work
environment;
- Assist students in identifying and acquiring the skills needed to
enter a chosen field;
- Provide practical work experience to balance the students' theoretical
training;
- Allow students to meet and learn from professionals in the field and
develop a network of contacts.
Internship Areas:
Administrative Internship
The IREX Administrative Internship provides interns with experience in
the areas of public relations, secretarial support, translation and
interpretation.  Interns will be responsible for greeting visitors,
responding to walk in and telephone inquiries about IREX and its
programs, directing office communications to appropriate staff, editing
of written text, assisting with daily administrative tasks such as
written translation, oral interpretation, filing, copying, faxing,
drafting correspondence, research, and other duties as needed.
Program Internships
The IREX Program Internship provides interns with experience working
directly with one or more of IREX's programs including public relations
and outreach, event coordination, and administrative tasks related to
specific programs.  Interns will be responsible for responding to walk
in and telephone inquiries related to the program, assisting program
staff with public outreach campaigns, assisting in the development and
editing of outreach materials, assisting in event coordination and
program related research, and various administrative tasks including but
not limited to written translation, oral interpretation, filing,
copying, faxing, and drafting correspondence.  IREX Program Interns are
assigned to programs according to program needs, technical resources
available, and intern skills.  Possible placements include: the
Educational Information Center (EIC) and Computer Based Testing Center,
the Internet Access Training Program (IATP), the Community Connection
Exchange Program, Partnerships and Training Division Education
Curriculum Development Programs, and the Academic and Exchanges and
Research Division Alumni Program."
Chief of Party (COP),Institute for Sustainable Communities (ISC),"Tashkent, Uzbekistan Pending funding.","ISC seeks an experienced and creative Chief of Party
(COP) to direct a multi-component project in Uzbekistan, Tajikistan and
Kyrgyzstan that will promote organizational strengthening and improve
the technical capabilities of water users associations (WUAs) to bring
economic and environmental benefits to rural citizens. The COP will
oversee programs that provide grants, technical assistance, and
institutional development training; and a small infrastructure
improvements program. Coordination with other USAID project activities
will be an important aspect of the project as will the development of
agricultural-related functions for the WUAs, and will be designed so as
to maximize agribusiness assistance for WUAs and their members."
"Community Development, Capacity Building and Conflict",Food Security Regional Cooperation and Stability Programme (FRCS),"Ijevan town, Tavush, Armenia.","Food Security Regional Cooperation and Stability
Programme in South Caucasus (FRCS) is seeking applications for the
position of Community Development, Capacity Building and Conflict
Management Consultant."
General Manager,Teleplus LLC,"Yerevan, Armenia",NA
Network Administrator,NetCall Communications,"Yerevan, Armenia",NA
Utopian World Championship 2004,SOC.Stockholm,NA,NA
Country Economist (NOB),"United Nations Development Programme, Armenia",NA,"The United Nations Development Programme in Armenia
announces opening for the position of  Country Economist."
Driver/ Logistics Assistant,"Counterpart International, Inc.
Counterpart's Community and Humanitarian Assistance Program (CHAP)","Yerevan, Armenia","Driver/ Logistics Assistant is a full-time national
staff position based in CHAP Yerevan office. Five day work week."
Graphic Designer,Xalt LLC,"Yerevan, Armenia","The position of Graphic Designer (GD) demands a
proven, successful experience in the field of ""new media"". The design
and communication concepts that you have created since completing your
studies are proving to be popular."
Administrative Assistant,"CUTS Centre for International Trade, Economics and Environment","London, UK","This is an excellent opportunity for the right person
to join CUTS Centre for International Trade, Economics and Environment,
London. CUTS (Consumer Unity & Trust Society) is a charitable
organisation, with its headquarters in Jaipur, India, working at the
local, national, regional and international levels, and has recently
opened an office in London. The London office will coordinate and manage
research and advocacy work on trade and economic issues and will also
support other offices of CUTS by raising funds, organising events, etc.
The organisation is concerned with the impact of international trade and
economic regime on developing countries and advocates for the poor at
different levels. The position will involve providing support for all
these activities. Applicants must have experience in office
administration."
Lawyer,Yerevan Brandy Company,"Yerevan, Armenia",NA
Marketing Advisor,ACDI/VOCA,"Tbilisi, Georgia","The Marketing Advisor will lead the project in
identifying and developing market opportunities, helping to develop
Georgian capacity to structure deals, nurture the commercial skills of
existing entrepreneurs, attract investment partners and facilitate
increased agribusiness activities. The Marketing Advisor will be based
in Tbilisi, Georgia with extensive travel throughout Georgia and the
surrounding region."
Chief/ Supervisor of Programs Department,Armenia TV,"Yerevan, Armenia","The candidate will work for the promotion and
development of the company's activities. The Supervisor will also work
in close collaboration with special departments and be responsible for
their monitoring. The candidate will supervise and organize programs,
develop work plans and perform other duties project requires."
Journalism Trainer,Media Diversity Institute,"Yerevan, Armenia","Media Diversity Institute (MDI) is looking for an
experienced Journalism Trainer from Armenia to participate as a
co-trainer in a three-day workshop for journalists on diversity
reporting.
The training programme has been developed by Media Diversity Institute.
The workshop will focus on the full and objective coverage of both the
majority and minorities - using both international and local examples
and trainers. Workshop sessions, using a mixture of theory and practical
exercises, will focus on the way the media covers diversity issues, and
how it could improve that coverage.
Training will be conducted from February 16 to February 18 in Yerevan.
All the costs related to participation are covered by organizers of the
event."
Deputy Program Director,Armenia School Connectivity Program,"Yerevan, Armenia","Project Harmony, an innovative, not-for-profit
professional exchange and training organization with 13 offices across
the US, Armenia, Azerbaijan, Georgia, Russia and Ukraine currently seeks
an experienced, mature professional to fill the position of Deputy
Program Director for the Armenia School Connectivity Program (ASCP), a
program of the Bureau of Educational and Cultural Affairs of the US
Dept. of State administered by Project Harmony. This position is based
in Yerevan, Armenia with extensive regional travel. Fluency in Russian
and/or Armenian is essential. Project Harmony seeks to fill this
position as soon as possible.  Project Harmony is an equal opportunity
employer, which provides its staff opportunities for job growth,
innovation, and creativity."
Student Forum: Student Conference and Debate Forum (April 17 -,Yerevan State University (YSU) and Civic Education Project (CEP),NA,NA
Reporting Diversity Workshop for Journalists,Media Diversity Institute,"Yerevan, Armenia","Media Diversity Institute (MDI) is looking for an
experienced journalism trainer from Armenia to participate as a
co-trainer in a three-day workshop for journalists on diversity
reporting.
The workshop, which will be held on 16-18 February in Yerevan will focus
on the full and objective coverage of both the majority and minorities -
using both international and local examples and trainers. Workshop
sessions, using a mixture of theory and practical exercises, will focus
on the way the media covers diversity issues, and how it could improve
that coverage."
Reporting Diversity Workshop for Journalists,Media Diversity Institute,"Yerevan, Armenia
"," Media Diversity Institute (MDI) accepts applications from
journalists for participation in a three-day workshop for journalists
covering diversity reporting.
The workshop will focus on the full and objective coverage of both the
majority and minorities - using both international and local examples
and trainers. Workshop sessions, using a mixture of theory and practical
exercises, will focus on the way the media covers diversity issues, and
how it could improve that coverage.
Journalists who currently work for mainstream media in Armenia and write
on or are interested in developing their writing on issues related to
diversity (ethnic minorities, religion, disability, marginalized and
socially disadvantaged groups etc) are eligible to apply.  MDI
encourages applicants from the regions to apply for the workshop.
The training programme has been developed by Media Diversity Institute.
Training will be conducted from February 16 to February 18 in Yerevan. 
All the costs related to participation are covered by organizers of the
event."
Chief Accountant,SEF International,"Yerevan, Armenia","Senior Management Position in Micro-Finance 
SEF International, a growing universal credit organization with an
8-year of experience in Armenia, advertises a position of a Chief
Accountant based in Yerevan. This position will provide leadership in
development and implementation of financial policies in the areas of
budgeting, cash management and forecasting, recordings and
documentation, auditing and financial reporting."
Consultant (short-term),International Relief and Development (IRD),"Yerevan, Armenia","International Relief and Development (IRD) Armenia
Branch urgently seeks a qualified individual to fill in a short-term
position of a Consultant to conduct a feasibility study in an
agricultural sector."
"Guard, FSN-2; FP-CC*","American Embassy Yerevan
ANNOUNCEMENT NUMBER: 04-03",NA,"Performs guard duties on a regular basis at either a
stationary or working patrol post at/around the Embassy Yerevan New
Office Building. Controls access to avoid unauthorized individuals and
vehicles from entering the construction site and authorized limits as
set by the OBO Site Security Manager. Remains alert to his/her
surroundings for any unusual activity or suspicious behavior.
A copy of the complete position description listing all duties and
responsibilities is available in the Human Resources Office. Contact
number: (3741) 52-46-61"
Training Officer,UMCOR Armenia,NA,"The United Methodist Committee on Relief (UMCOR)
Armenia is seeking applicants for the position of Training Officer for
""Prevention and Control of HIV/AIDS and STIs"" Project implemented in
Gegharkunik marz. The goal of the project is to reduce the risk of
HIV/AIDS, STIs and TB among rural communities by promoting behavioural
changes and strengthening the health care system's management of STIs."
"Chauffeur, FSN-3; FP-BB*","American Embassy Yerevan
ANNOUNCEMENT NUMBER: 04-04",NA,"Drives a passenger vehicle for U.S. Mission
employees, official visitors and for delivering official correspondence,
gratuities and other items within the city and surrounding area
according to Dispatcher's instructions. Assures passenger compliance
with USG safety regulations.
A copy of the complete position description listing all duties and
responsibilities is available in the Human Resources Office. Contact
number: (3741) 52-46-61"
Demographic Analysis Workshop,Caucasus Research Resource Center - Armenia,"Yerevan, Armenia
DESCRIPTION:   Demographic analysis and population projection represent
one of the cornerstones of public sector planning and private sector
market analysis at the national, regional, and local levels. Population
projections also provide the crucial denominator data needed for health
programs monitoring and evaluation. This workshop will strengthen the
participant's capacity: 
- to evaluate census, survey, and vital statistics data; 
- produce a consistent set of demographic estimates; 
- prepare national population projections for planning, monitoring, and
evaluation. 
The workshop will focus on the analysis of data from the 2001 census,
the 2000 Demographic and Health Survey (DHS), vital statistics, and
other administrative data. However, special attention will be given to
the census and DHS data in order to maximize the timeliness and utility
of analytical products based on these data sources. Approximately two
days will be devoted to developing a design and outline for a 2001
census analytical report or series of reports. 
Participants will use the same U.S. Census Bureau and United Nations
demographic analysis and projection software used by staff of the Census
Bureau's International Programs Center to prepare estimates and
projections for the countries of Western Asia, including Armenia.",NA
Programmer,CIT Ltd.,"Yerevan, Armenia",NA
Tester,"Synergy International Systems, Inc./Armenia","Yerevan, Armenia","Synergy International Systems, Inc./Armenia is
currently seeking self-motivated individuals to join our quality
assurance team. The ideal candidate will meet the following basic
requirements:"
Receptionist,AMERIA CJSC,"Yerevan, Armenia","AMERIA Closed Joint Stock Company is seeking a
Receptionist to provide secretarial and administrative support to the
office."
German Internships for Young Practicing Journalists from NIS,"Internationale Journalisten Programme (IJP), Germany",NA,NA
Volunteer/ Intern,Armenian Red Cross Society,"Yerevan, Armenia
DESCRIPTION:   Administrative Support to the International Affairs
Department. This is a non-paid position. After completion a letter of
reference will be available for successful Volunteers/ Interns.
RESPONSIBILITIES:  
- Assist in maintaining general office correspondence;
- Provide translations from English into Armenian and vice versa;
- Typing and formatting a variety of materials, filing.",NA
Team Leader/ Chief of Party,Mercy Corps,Central Asia,"Mercy Corps is currently looking for an experienced
Team Leader/ Chief of Party to help us leverage our strong presence in
the Communities of Central Asia to help address the continuous challenge
of water use and legislative reform on the region. The Team Leader will
work with existing Mercy Corps staff and our partners to manage the
implementation of a five year USAID funded project to advance community
water management and irrigation practices through development of Water
Users' Associations, the Team Leader will provide the vision and
leadership to ensure that the project is planned and executed with
quality, accountability, and measurable impact."
Program Manager - Children's Programs,Mercy Corps,"Bam, Iran","We are currently seeking a Program Manager to oversee
Mercy Corps community-driven programs addressing the psychosocial needs
of children affected by the earthquake. These programs are intended to
empower communities to prioritize, plan and implement projects that
address the psychosocial needs of children affected by the earthquake."
Receptionist,AMERIA CJSC,"Yerevan, Armenia","AMERIA Closed Joint Stock Company is seeking a
Receptionist to provide secretarial and administrative support to the
office."
Chief of Party,"Development Alternatives, Inc.",Ghana,"DAI is seeking candidates for long-term resident
position(s) in the field of agribusiness for an upcoming USAID-funded
agribusiness development program in Ghana. Candidates should have hands
on experience in Agribusiness from production to marketing, as well as
the proven ability to locate markets and establish linkages with
producers/ exporters.
Specific Areas of Expertise Sought:
- Tropical agricultural production (especially high-value horticulture)
for export, including sanitary and phytosanitary requirements and
broader certification approaches such as EUREP-GAP;
- Agribusiness Development;
- Agribusiness marketing; Export Promotion; proven ability to ""make
deals"" and move product;
- Post-harvest handling; Food processing;
- Producer association development;
- Horticultural and specialty export crops;
- Market information systems; International trade; and
- Agricultural finance and investment promotion."
Quality Assurance/ Health Systems Management Advisor,Initiatives Inc.,Middle East,"Initiatives Inc. seeks a Quality Assurance/ Health
Systems Management Advisor for a multi-year assignment."
Teacher of Information Technologies,Military Institute,"Yerevan, Armenia","Military Institute is looking for a Teacher of
Information Technologies."
Cashier,Microenterprise Development Fund Kamurj,"Vanadzor, Armenia","MDF Kamurj is currently looking to recruit a Cashier
for its Vanadzor branch. The Cashier will do bank transactions, accept
loan repayments, disburse loans in Vanadzor branch and it's program
areas. S/he will maintain cash flow according to existing policy and
procedures."
Medical Monitor,International Relief and Development (IRD),"Yerevan, Armenia","International Relief and Development (IRD) Armenia
Branch seeks a qualified individual to fill in a position of a Medical
Monitor to monitor the implementation of Essential Medical Commodities
Distribution Program."
"Telephone Operator, FSN-4; FP-AA*","American Embassy Yerevan
ANNOUNCEMENT NUMBER: 04-06",NA,"Provides Telephone operator/ receptionist service to
all sections of the U.S. Embassy in Yerevan. Operates the Embassy Base
Station radio, assists with vehicle dispatch duties after normal Embassy
duty hours. Operates the Embassy facsimile machine. Periodically assists
in the mail Room or as the IRM Secretary.
A copy of the complete position description listing all duties and
responsibilities is available in the Human Resources Office. Contact
number: (3741) 52-46-61"
English as a Second Language/ TOEFL/ TWE/ TSE Instructors,"International Registered Nurses of America, Inc.","Yerevan, Armenia","We are looking for dynamic and creative ESL/ TOEFL/
TWE/ TSE instructors willing  to teach written and spoken English to
Armenian nurses and help them master TOEFL/ TWE/ TSE exam taking skills."
Programs Manager,Armenian Caritas,"Gyumri, Shirak Region, permanent residence is not
required","Armenian Caritas is seeking an experienced Programs
Manager to lead the development of programs and coordinate the design,
documentation, monitoring, and evaluation of program activities for the
purpose of assuring the ongoing quality. He/she will be fully aware of
all aspects of all projects and will provide leadership and guidance to
the program team (Project Managers and Project Staff)."
Proposal Writer,Armenian Caritas,"Gyumri, Shirak Region, permanent residence is not
required","Armenian Caritas seeks to hire a full-time Proposal
Writer to develop and design the new projects and help the organization
to achieve its strategic goals."
English Language Conversation Partners,"International Registered Nurses of America, Inc.","Yerevan, Armenia","We are looking for volunteers, who are fluent in
conversational English, to help Armenian nurses to learn standard
American spoken English. 
REMUNERATION:  Negotiable"
Accountant,SEF International Universal Credit Organisation Ltd.,"Sisian, Armenia","SEF International, a growing universal credit
organization in Armenia, is looking to recruit qualified and experienced
Accountant for its Sisian branch. This position will carry out routine
accounting and financial reporting for the branch as well as handling
credit-related information."
Trainers/ Consultants and Moderators/ Facilitators,Training and Development Ltd.,Yerevan and different marzes of RA,"T&D is looking for Trainers/ Consultants and
Moderators/ Facilitators in business and management spheres with
comprehensive experience in the related fields for further cooperation
with them.
RESPONSIBILITIES:  Provides instructional, facilitation and consultation
services for ""Training & Development"" clients."
Chief/ Supervisor of Programs Department,Armenia TV,"Yerevan, Armenia","The candidate will work for the promotion and
development of the company's activities. The Supervisor will also work
in close collaboration with special departments and be responsible for
their monitoring. The candidate will supervise and organize programs,
develop work plans and perform other duties project requires."
Manufacturing Chief,ARQELL CJSC,"Kotaik region, Armenia","We are seeking a Manufacturing Chief, a professional
who has diverse experience in all aspects of manufacturing of
mechanical, electromechanical and electrical equipment. He will be
responsible for all the processes the raw material will go through,
until it is converted to finished products. He will also be responsible
for keeping the manufacturing equipment maintained, in order to secure
the quantity and quality of what is manufactured. He will report
directly to the Executive Director."
Driver,IntraHealth International/ PRIME II Project,"Lori Marz and Yerevan, Armenia","IntraHealth International/ Prime II project in
Armenia is seeking a driver to work in Lori Marz and Yerevan offices."
General Manager,Teleplus LLC,"Yerevan, Armenia",Teleplus LLC is looking for a General Manager.
Experts,PLS RAMBOLL Management,"The location is in Tashkent in the Republic of
Uzbekistan, and a minimum percentage of expertise working time to be
spent in the Republic of Uzbekistan is 90% for the project duration.","PLS RAMBOLL Management is looking for Experts for
""Further deepening of democratic reforms in Uzbekistan""- EU Tacis funded
project. The team of experts will work with the Chairman of the Oliy
Majlis Committee on Legislation and Judiciary and a broad range of other
beneficiaries to the project including among many others the Oliy Majlis
Secretariat and Committees on Press and Information, Reforming Economy
and Entrepreneurship and Social Issues and Employment. The project
should also provide technical assistance and policy advice to establish
a system and joint procedures and interaction mechanisms between the
Oliy Majlis, the Constitutional Court and the Supreme Court of
Uzbekistan."
"Online Business Associates (part time, work from home)",Web Project,NA,"The company WEB PROJECT is currently seeking
qualified candidates for positions of associates in work-online
business."
Loan Promoter,Microenterprise Development Fund Kamurj,"Sisian, Armenia","Fund ""Kamurj"" is currently looking to recruit a Loan
Promoter for its Sisian branch."
Country Director,ACTR/ ACCELS,"Yerevan, Armenia","The Country Director is responsible for maintaining
American Councils for International Education: ACTR/ ACCELS
organizational relations in Armenia, overseeing internal operations in
the Yerevan office, and providing oversight of student, undergraduate,
graduate, post-graduate, and teacher and professional development
exchange programs."
Regional Director,Eurasia Foundation,"The Regional Director position is based in Tbilisi,
Georgia.","The Eurasia Foundation is seeking candidates to
manage a network of applied social science research and training centers
in the South Caucasus.The CRRC centers offer training in modern social
science research methodologies and house key bibliographic and online
resources for policy-oriented research in the social sciences. Centers
also work to promote regional networking for researchers and
cross-border dialogue on the policy implications of research on key
issues."
Administrative Assistant/ Secretary,Accion Contra el Hambre - Armenia,"Sisian, Armenia","ACH's Armenia Mission is seeking to employ a
Administrative Assistant/ Secretary for the Sisian Base office."
Program Expert,Small and Medium Entrepreneurship Development National Center of Armenia,"Yerevan, Armenia","The SME DNC of Armenia is looking for a qualified
person to be hired on competitive basis for implementation of the Loan
Guaranties pilot project stipulated as a separate point in ""SME
Development State Support Program 2004"". The project will be extended
further depending on start-up output."
Project Coordinator,"United Nations Development Programme, Armenia","Yerevan, Armenia","The United Nations Development Programme in Armenia
announces opening for Project Coordinator for the Project ""Promoting
Human Rights and Facilitating Public Awareness of the Public Defender's
Office in Armenia. The incumbent under direct supervision of UNDP
Resident Representative will carry out overall coordination of the
Project activities."
Salesman / Trade agent,Interagent LLC,"Yerevan, Armenia","- 6 days working week
- Company provides new cars (Zhiguly 06), with an opportunity to acquire
it in future."
Administrative & Program Internships,IREX Armenia,"Yerevan, Armenia
DESCRIPTION:    The IREX/Armenia Internship Program offers meaningful,
career-related work experience in an international organization to
students and other interested individuals. The purpose of internship
program is not only to provide individuals with professional experience
that is necessary for future work in an international organization, but
also to assist individuals in the development of key skills that will be
beneficial for their future careers in any sphere.  Every IREX intern
will be assigned a mentor who will work with the intern to assess
individual goals and performance through out the internship.  Each
intern will complete a pre, mid, and post assessment designed to
determine skills they would like to develop, progress being made, and
overall performance and professional growth.  IREX internships are
non-paid, however, upon successful completion of the internship IREX
will provide interns with a certificate of appreciation and reference
letter upon request.
The internship program serves to:
- Reinforce and strengthen the interns' personal values and career
objectives through an improved understanding of themselves and the work
environment
- Assist students in identifying and acquiring the skills needed to
enter a chosen field
- Provide practical work experience to balance the students' theoretical
training
- Allow students to meet and learn from professionals in the field and
develop a network of contacts
Internship Areas:
- Administrative Internship
The IREX Administrative Internship provides interns with experience in
the areas of public relations, secretarial support, translation and
interpretation.  Interns will be responsible for greeting visitors,
responding to walk in and telephone inquiries about IREX and its
programs, directing office communications to appropriate staff, editing
of written text, assisting with daily administrative tasks such as
written translation, oral interpretation, filing, copying, faxing,
drafting correspondence, research, and other duties as needed.
- Program Internships
The IREX Program Internship provides interns with experience working
directly with one or more of IREX's programs including public relations
and outreach, event coordination, and administrative tasks related to
specific programs.  Interns will be responsible for responding to walk
in and telephone inquiries related to the program, assisting program
staff with public outreach campaigns, assisting in the development and
editing of outreach materials, assisting in event coordination and
program related research, and various administrative tasks including but
not limited to written translation, oral interpretation, filing,
copying, faxing, and drafting correspondence.  IREX Program Interns are
assigned to programs according to program needs, technical resources
available, and intern skills.  Possible placements include: the
Educational Information Center (EIC) and Computer Based Testing Center,
the Internet Access Training Program (IATP), the Community Connection
Exchange Program, Partnerships and Training Division Education
Curriculum Development Programs, and the Academic and Exchanges and
Research Division Alumni Program.",NA
Admin/ Finance Clerk - 2004/ 001,"UN World Food Programme, Armenia","Yerevan, Armenia","The United Nations World Food Programme is seeking an
Admin/ Finance Clerk for temporary assistance."
Software Developers,NetMen Ltd.,"Yerevan, Armenia","We are looking for a Programmers with knowledge of
Java, Jsp, J2EE."
Training and Institutional Capacity Building Specialist,European Project for Regional Development of Armenia (REDAM),"Vayots Dzor, Armenia","Eurecna SLR, the international consulting
organisation which has been awarded the contract by the Delegation of
the European Commission in Yerevan for the implementation of REDAM,
seeks to fill the long-term position of Training and Institutional
Capacity Building Specialist. We need an Armenian expert with extensive
experience conducting training needs analyses and institutional capacity
analyses, and developing training programmes. The candidate selected for
this position will be contracted for the next 18 months within the EU
International Team to help strengthen the capabilities of civil servants
at local, regional and central levels.
Eurecna is an equal opportunities employer."
Community Education Campaign to Combat STIs/HIV/AIDS,IntraHealth/PRIME II,"Lori Marz, Armenia
PROJECT DESCRIPTION:   
Community Education Campaign to Combat STIs/HIV/AIDS in Lori Marz
Request for Applications (RFA)
RFA Solicitation Number: A10204
Release Date: 02/16/04
Letter of Intent Receipt Date: 03/01/04 
Meeting of Prospective Applicants: 02/24/04
Application Receipt Date: 03/15/04
Point of Contact: Lusine Ghazaryan
E-mail: lghazaryan@...
Introduction and Purpose of the RFA
IntraHealth International is an independent nonprofit corporation
affiliated with the University of North Carolina at Chapel Hill.
IntraHealth has earned an international reputation for innovative
performance improvement and training activities that benefit a wide
variety of providers in such areas as family planning, reproductive
health, and safe motherhood. 
PRIME II is a global reproductive health project sponsored by the United
States Agency for International Development (USAID). A consortium of 7
international agencies implements the project with IntraHealth
International Inc. as the lead. Partners include Abt Associates,
EngenderHealth, PATH, Training Resources Group, American College of
Nurse Midwives and Save the Children. PRIME II currently works with the
government of Armenia to expand access to quality reproductive health
services at the primary level through development of updated national
policies and protocols and through pilot implementation of those new
approaches in Lori Marz. PRIME II's Human Immunodeficiency
Virus/Sexually Transmitted Infections (HIV/STI) project supports the
government of Armenia to strengthen its efforts to prevent further
spread of STIs in the population through preparing primary care
providers to offer integrated STI management and prevention services and
by educating communities around those primary care centers about
services and appropriate prevention practices. Since May, 2003 STI
Syndromic Management Guidelines and Algorithms were developed in close
collaboration with the Center of Dermatology, STIs and AIDS Prevention
and the Ministry of Health, RA. As part of an overall program aimed at
improving health services in sexually transmitted infection treatment
and prevention at the primary health care level, PRIME II has conducted
a Training of Trainers in STI Syndromic Management, based on the
above-mentioned guidelines. Participants who have undergone this
training will be responsible for conducting training of primary care
providers in selected primary care sites in Lori Marz. This Request for
Applications (RFA) invites applications on the implementation of a
community-based intervention to conduct community education campaign to
prevent/combat HIV/STI among community inhabitants in Lori Marz. The
applications are limited to local Armenian Non-Governmental
Organizations (NGOs) for projects of up to 6 months of duration to
provide informative/counseling/referral and other educational services
to the target community members. 
IntraHealth will be the entity awarding the subcontracts. The
subcontracts may be awarded to one or more Armenian NGOs who have proven
capability to carry out successful activities in the field of public
health and/or education. Awards will average $10,000 with a maximum of
$12,000 (Documented in-kind contributions are strongly encouraged).
The purpose of this program is to raise awareness and knowledge of the
population in issues related to the HIV/STI in professionally-accurate
and culturally-appropriate ways and to mobilize actions to tackle
HIV/STI. The program aims:
-  to increase the awareness of the link between STIs and HIV/AIDS, 
-  to demystify and destigmatize these diseases, to combat the myths and
taboos associates with them,
-  to promote prevention activities and practices,
-  to increase use of services for treatment of STIs. 
An important emphasis of the program is to provide referrals for
counseling and STI care management to the primary health care providers,
already trained by PRIME II in STI integrated care management.
On February 24th, 2004 IntraHealth will hold a meeting to review the
RFA, answer questions as appropriate related to the RFA and provide
guidance on the format of application. All prospective applicants are
invited to attend this meeting, which will take place on Tuesday,
February 24th at 14:00 in the Conference room of PRIME II at the
following address:
IntraHealth/PRIME II
31 Moskovyan Street, apt. #76a
Yerevan, Armenia 375002
Telephone: (3741) 536-913
FAX: (3741)532-697.
It is requested that all prospective applicants confirm their
participation for the above-mentioned meeting by the close of business
February 20th, 2004.",NA
